idcvlac,autor,nombre,tipo,verificado,nombre_comercial,contrato_registro,lugar,fecha,palabras,areas,sectores
0000870994,WILFRED FABIAN RIVERA MARTINEZ,iNNpulsa Productividad SERATIC,Producción técnica - Innovaciones generadas de producción empresarial - Organizacional,True,,,Colombia,2020,,Ciencias Sociales -- Economía y Negocios -- Negocios y Management,
0000870994,WILFRED FABIAN RIVERA MARTINEZ,iNNpulsa Productividad BitBang,Producción técnica - Innovaciones generadas de producción empresarial - Organizacional,True,,,Colombia,2020,,,
0000870994,WILFRED FABIAN RIVERA MARTINEZ,iNNpulsa Productividad Dobleclick,Producción técnica - Innovaciones generadas de producción empresarial - Organizacional,True,,,Colombia,2020,,Ciencias Sociales -- Economía y Negocios -- Negocios y Management,
0000870994,WILFRED FABIAN RIVERA MARTINEZ,iNNpulsa Productividad_SUNSET,Producción técnica - Innovaciones generadas de producción empresarial - Organizacional,True,,,Colombia,2020,,Ciencias Sociales -- Economía y Negocios -- Negocios y Management,
0001124838,"MARIA EUGENIA SALDARRIAGA SALAZAR, WILLINGTON BENITEZ CHARA, DIANA MARCELA MONTILLA VALENCIA, LUISA FERNANDA LOSADA ARTUNDUAGA",Innovación de las prácticas docentes y de estudiantes de las Instituciones Educativa César Negret Velasco de la Ciudad de Popayán,Producción técnica - Innovaciones generadas de producción empresarial - Organizacional,False,,,Colombia,2021,"EDUCACION, Educación en Casa, PEDAGOGIA","Ciencias Sociales -- Ciencias de la Educación -- Educación General (Incluye Capacitación, Pedagogía)",Educación - Educación secundaria de formación general
0001124838,MARIA EUGENIA SALDARRIAGA SALAZAR,DISEÑO E IMPLEMENTACION DE PLAN ESTRATÉGICO ORGANIZACIONAL EN LA EMPRESA SISGAR INGENIERÍA METALMECANICA DE LA CIUDAD DE POPAYÁN,Producción técnica - Innovaciones generadas de producción empresarial - Organizacional,True,,,Colombia,2016,"EMPRESA, EMPRESARISMO, ESTRATEGIA, ESTRUCTURA ORGANIZACIONAL, GLOBALIZACIÓN, NORMAS, ORGANIZACIÓN",Ciencias Sociales -- Economía y Negocios -- Negocios y Management,"Productos y servicios de recreación,culturales, artísticos y deportivos"
0001124838,"EDUARDO ANDRES CONCHA CERON, MARIA EUGENIA SALDARRIAGA SALAZAR, MARIA DEL MAR LONDONO ORDONEZ",Innovaciones en el ámbito organizacional de la Fundación Red Emprendedoras Popayán,Producción técnica - Innovaciones generadas de producción empresarial - Organizacional,True,,,Colombia,2020,"Contexto Empresarial, Innovación Empresarial, GESTIÓN INSTITUCIONAL, ESTRUCTURA ORGANIZACIONAL",Ciencias Sociales -- Economía y Negocios -- Negocios y Management,Otros sectores - Otro
0000861863,"WILLINGTON BENITEZ CHARA, MARIA EUGENIA SALDARRIAGA SALAZAR, DIANA MARCELA MONTILLA VALENCIA, LUISA FERNANDA LOSADA ARTUNDUAGA",Innovación de las prácticas docentes y de estudiantes de las Instituciones Educativa César Negret Velasco de la Ciudad de Popayán,Producción técnica - Innovaciones generadas de producción empresarial - Organizacional,False,,,Colombia,2021,"Pedagogía, Educación, Educación en Casa","Ciencias Sociales -- Ciencias de la Educación -- Educación General (Incluye Capacitación, Pedagogía)",Educación - Educación secundaria de formación general
0001424171,CESAR DANIEL ERIC SAMBONI ADRADA,Modelo de negocio y sostenibilidad para el CDT Creatic,Producción técnica - Innovaciones generadas de producción empresarial - Organizacional,False,,,Colombia,2019,,Ciencias Sociales -- Economía y Negocios -- Negocios y Management,
0001623116,"JHON ALEXANDER GUERRERO NARVAEZ, DESARROLLO DE UN MÉTODO PARA LA SELECCIÓN",PRIORIZACIÓN Y EVALUACIÓN DE PROYECTOS DE INNOVACIÓN Y DESARROLLO,Producción técnica - Innovaciones generadas de producción empresarial - Organizacional,False,,,Colombia,2022,"Método de Ponderación - Scoring, viabilidad financiera, Método Jerárquico de Análisis",Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías,"Fabricación de máquinas y equipos, incluso máquinas-herramientas - Fabricación de máquinas con componentes de mecánica de precisión"
