idcvlac,autor,nombre,tipo,verificado,nombre_comercial,contrato_registro,lugar,fecha,palabras,areas,sectores
0000816620,"MATEO ORTIZ GIRALDO, HECTOR EMILIO RAMIREZ CHAVES, WILLIAM DAVID TOBON ESCOBAR, DANIELA VELASQUEZ GUARIN, INGRITH YULIANI MEJIA FONTECHA, FREDY ARVEY RIVERA PAEZ, PAULA ANDREA OSSA LOPEZ","Museo de Historia Natural, Colección de Vertebrados e Invertebrados - Colección de Ectoparásitos, Universidad de Caldas",Producción técnica - Productos tecnológicos - Coleccion biologica de referencia con informacion sistematizada,False,,,Colombia,2019,,,
0000816620,"JOSE JAIME HENAO OSORIO, HECTOR EMILIO RAMIREZ CHAVES","Colección Ictiológica del Museo de Historia Natural, Universidad de Caldas",Producción técnica - Productos tecnológicos - Coleccion biologica de referencia con informacion sistematizada,False,,,Colombia,2019,,"Ciencias Naturales -- Ciencias Biológicas -- Zoología, Ornitología, Entomología, Ciencias Biológicas del Comportamiento",
0000816620,"HECTOR EMILIO RAMIREZ CHAVES, INGRITH YULIANI MEJIA FONTECHA, DANIELA VELASQUEZ GUARIN, NESTOR DANIEL CASTANO RAMIREZ","Colección de Mamíferos (Mammalia) del Museo de Historia Natural de la Universidad de Caldas, Colombia",Producción técnica - Productos tecnológicos - Coleccion biologica de referencia con informacion sistematizada,False,,,Colombia,2017,,"Ciencias Naturales -- Ciencias Biológicas -- Zoología, Ornitología, Entomología, Ciencias Biológicas del Comportamiento",
0001004654,DANIEL RODRIGO ORTEGA ALEGRIA,Ultracavitación,Producción técnica - Productos tecnológicos - Otro,False,Ultracavitación,,Colombia,2011,"Cavitacion, cavitation, Piezoelectrico, ultrasonic, ultrasound",Ciencias Médicas y de la Salud -- Otras Ciencias Médicas -- Otras Ciencias Médicas,"Fabricación de equipos de instrumentación médico-hospitalarios, instrumentos de precisión y ópticos, equipos para automación industrial, cronómetros y relojes - Fabricación de equipos de instrumentación médico-hospitalar, odontológico y de laboratorios"
0001004654,DANIEL RODRIGO ORTEGA ALEGRIA,Scrubber Prismatec,Producción técnica - Productos tecnológicos - Otro,False,Scrubber Prismatec,,Colombia,2013,"Cavitacion, cavitation, Piezoelectrico, ultrasonic, ultrasound",,
0001004654,DANIEL RODRIGO ORTEGA ALEGRIA,Ultrasonido de 1 Mhz,Producción técnica - Productos tecnológicos - Otro,False,Ultrasonido de 1 Mhz,,Colombia,2011,"Cavitacion, ultrasound, Piezoelectrico, cavitation, ultrasonic",,
0001004654,DANIEL RODRIGO ORTEGA ALEGRIA,Sistema SW HW TMP Versión 3.4,Producción técnica - Productos tecnológicos - Otro,False,Sistema SW HW TMP Versión 3.4,,Colombia,2017,,,Fabricación de material electrónico y de aparatos y equipos de comunicación - Fabricación de aparatos y equipos de telecomunicación
0001004654,DANIEL RODRIGO ORTEGA ALEGRIA,Ultrasonido Dual,Producción técnica - Productos tecnológicos - Otro,False,Ultrasonido Dual,,Colombia,2010,"Cavitacion, ultrasound",Ciencias Médicas y de la Salud -- Biotecnología en Salud -- Biotecnología Relacionada con la Salud,
0001004654,DANIEL RODRIGO ORTEGA ALEGRIA,Láser No Invasivo,Producción técnica - Productos tecnológicos - Otro,False,Láser No Invasivo,,Colombia,2012,,"Ciencias Médicas y de la Salud -- Biotecnología en Salud -- Biomateriales (Relacionados con Implantes, Dispositivos, Sensores)",
0000035637,MARTHA LUCIA OROZCO GUTIERREZ,CONTROL AUTOMÁTICO DE DESVIACIÓN DE ENERGÍA DESDE EL CENTRO DE SUPERVISIÓN Y MANIOBRA DE EPSA,Producción técnica - Productos tecnológicos - Otro,False,No es un producto comercial aun- fue realizado para EPSA,00008881201,Colombia,2009,,,
0000394718,"IVAN DARIO LOPEZ GOMEZ, ALBERTO NARANJO CARVAJAL, JUAN FERNANDO ROJAS RODRIGUEZ",Piso plástico para la industria porcícola mediante la tecnología de inyección con agente espumante,Producción técnica - Productos tecnológicos - Otro,False,,,Colombia,2010,"Inyección de termoplásticos, Agente espumante",Ingeniería y Tecnología -- Ingeniería Mecánica -- Ingeniería Mecánica,Fabricación de productos químicos - Fabricación de productos de goma y plásticos
