idcvlac,nombre,fecha
0000700789,"Seminario de instituciones, gobernanza y desarrollo territorial,Escuela Superior De Administración Pública",Diciembrede 2013
0000700789,"Tercer puesto Arquitectos del Mercado de Capitales,BOLSA DE VALORES DE COLOMBIA",Octubrede 2012
0001491883,"XXV Convocatoria de financiamiento de tesis de maestria,Facultad Latinoamericana de Ciencias Sociales FLACSO Ecuador",Noviembrede 2017
0000329916,"Ganador de la beca por mérito académico para cursar la Maestría en Estudios Interdisciplinarios del Desarrollo,UNIVERSIDAD DEL CAUCA",Marzode 2010
0000329916,"Mención de Honor en tesis de maestría: ""(Re)configuración Territorial en el Pacífico caucano"",UNIVERSIDAD DEL CAUCA",Noviembrede 2013
0001162721,"Mención Honorífica por el trabajo de grado de la Maestría en estudios interdisciplinarios del desarrollo,UNIVERSIDAD DEL CAUCA",Octubrede 2015
0001162721,"Reconocimiento otorgado por la Revista ¿Correo del Sur¿ en su premiación No. 40,Instituto Departamental De Salud De Nariño",Noviembrede 2014
0001162721,"Orden Mérito al Servicio Miguel Antonio Ramón Martínez,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA",Juniode 2016
0001522397,"Mención de Honor al trabajo de grado en antropología titulado ""Kamënts̈a biyangbe wáman lware. El lugar sagrado de quienes hablan kamënts̈á. El territorio indígena kamënts̈á en el Valle de Sibundoy -Putumayo"".,UNIVERSIDAD DEL CAUCA",Febrerode 2009
0001522397,"Mejor representación plástico - sensorial experimental. SEMILLERO BIOLUGARGOGÍA COMO UN ACTO POLÍTICO DESDE LA KOSMOVILIDAD DEL CONOCIMIENTO,UNIVERSIDAD DE NARIÑO",Octubrede 2021
0001522397,"Reconocimiento a mejor ponencia titulada ""Lo ambiental y la educación en la kosmovilidad intercultural según las sabidurías ancestrales"" otorgado por la Mesa Interuniversitaria del Eje Cafetero.,Universidad De Manizales - Umanizales",Septiembrede 2020
0001389538,"Beca para cursar Maestría en Estudios Interdisciplinarios del Desarrollo,UNIVERSIDAD DEL CAUCA",Agostode 2012
0001389538,"Por la destacada labor como contador publico, investigador y docente ,FUNDACION UNIVERSITARIA DE POPAYAN",Marzode 2019
0001389538,"Beca Innovacción Cauca Doctorados Nacionales 01-2016  SGR - Sistema General de Regalías,UNIVERSIDAD DEL CAUCA",Marzode 2016
0001389538,"Mejor Ponencia del Simposio,Inst Estudios Avanzados Idea Usach",Noviembrede 2010
0001389538,"Por su brillante participación como expositor,Colegio de Contadores Públicos de Guadalajara Jalisco",Noviembrede 2020
0000482390,"Mención de Honor. Postgrado de Especialización en Marketing,UNIVERSIDAD CATOLICA DEL URUGUAY",Juliode 1999
0000482390,"Egresada Distinguida. Facultad de Ciencias Contables, Económicas y Administrativas,UNIVERSIDAD DEL CAUCA",Octubrede 2002
0000482390,"Tesis Doctoral  Mención Cum Laude,Universidad de Valencia",Septiembrede 2022
0001519574,"Ganadora del Quinto Concurso departamental de cuento ,Departamento del Cauca",Septiembrede 2011
0001466598,"Grado de honor,UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA",Abrilde 2012
0001466598,"SNIS Award for the best PhD thesis in International Studies,Swiss Network for International Studies",Abrilde 2021
0001466598,Beca Colciencias doctorado en el exranjero,Septiembrede 2015
0001466598,"Tesis doctoral summa cum laude,Instituto Universitario de Altos Estudios Internacionales (The Graduate Institute)",Septiembrede 2020
0001358471,"INVESIGACION,UNIVERSIDAD DEL CAUCA",Diciembrede 2013
0001358471,"Compromiso, entrega y pertenencia con la Institución en la III feria académica,UNIVERSIDAD COOPERATIVA DE COLOMBIA",Juliode 2002
0001358471,"Dedicación y aporte brindado a los psicologos en formación en la práctica del área clínica,UNIVERSIDAD COOPERATIVA DE COLOMBIA",Juliode 2001
0001358471,"Destacada participación y compromiso en el ejercicio de la labor pedagogica y formativa del estudiante de práctica,UNIVERSIDAD COOPERATIVA DE COLOMBIA",Noviembrede 2005
0001358471,"Destacada Participación en la Feria de Condiciones Mínimas de Calidad,UNIVERSIDAD COOPERATIVA DE COLOMBIA",Juliode 2004
0001358471,"Destacada Participación como asesora de prácticas,UNIVERSIDAD COOPERATIVA DE COLOMBIA",Noviembrede 2003
0001358471,"Reconocimiento por el Diseño, Programación e implementación del Programa de Preparación Integral para el Retiro Laboral,Institudo Del Seguro Social",Noviembrede 1998
0001358471,"Evaluaciones Destacadas año 2020,Centro de Información Tecnológica  (CIT) La Serena",Enerode 2021
0000594881,"Premio Millenium de Paz,Fondo de Desarrollo de las Naciones Unidas para la Mujer",Noviembrede 2000
0000594881,"Premio Ciudadana Ejemplar,Alcaldia Municipal De Popayan",Marzode 2011
0000322741,"primer lugar en el concurso de poster científico,ASOSIACION NACIONAL DE INTERNOS Y RESIDENTES",Noviembrede 2017
0000322741,"Primer lugar en presentación de poster científico,Asociación Nacional de Internos y Residentes regional Cauca",Abrilde 2018
0000322741,"apoyo al proyecto piloto de excelencia sanitaria en gabado bovino doble propósito en los municipios de Popayán y Puracé (Cauca),EMPRESA COLOMBIANA DE PRODUCTOS  VETERINARIOS",Diciembrede 2017
0000322741,"mejor exposición oral,Universidad Ricardo Palma",Juniode 2018
0000322741,"segundo lugar en el concurso de poster científico,ASOSIACION NACIONAL DE INTERNOS Y RESIDENTES",Noviembrede 2017
0000322741,"ganador en el concurso de poster,UNIVERSIDAD DEL CAUCA",Noviembrede 2015
0000322741,"PREMIO NACIONAL EN EL AREA DE ECOLOGÍA,Asociación Nacional De Ciencias Biológicas",de 2004
0001632192,"Certificado de participación y reconocimiento por su activa participación y compromiso con la investigación,Semillero de Investigación Inmunología y Enfermedades Infecciosas. Unicauca",Diciembrede 2015
0001632192,"Premio como el mejor trabajo en la modalidad de Póster Junior, Eje Temático de Anatomía Funcional, al trabajo titulado ""Cambios estructurales macro y microscópicos del corazón en el envejecimiento"",XII Congreso Colombiano de Morfología, Asociación Colombiana de Morfología",Octubrede 2016
0001632192,"Moción de felicitación en el marco del XII Congreso Colombiano de Morfología,Consejo de Facultad de Ciencias de la Salud. Universidad del Cauca",Octubrede 2016
0001632192,"Moción de Felicitación en el marco del evento ""I Seminario: enfoque clínico y molecular del VIH/SIDA"",Consejo de Facultad de Ciencias de la Salud. Unicauca",Agostode 2015
0001632192,"Certificado de participación y reconocimiento por su activa participación y compromiso con la investigación,Grupo de Investigaciones Inmunología y Enfermedades Infecciosas. Unicauca",Noviembrede 2016
0001632192,"Carta de recomendación en el marco de la organización del evento ""I Seminario: enfoque clínico y molecular del VIH/SIDA"" ,Colegio Médico de Cauca, Federación Médica Colombiana",Agostode 2015
0001632192,"Reconocimiento de Media Matrícula de Honor,UNIVERSIDAD DEL CAUCA",Diciembrede 2015
0001632192,"Moción de felicitación por su compromiso con el progreso, desarrollo de la Universidad del Cauca y por su responsabilidad en la participación en eventos Nacionales e Internacionales,Consejo de Facultad, Facultad Ciencias de la Salud, Universidad del Cauca,UNIVERSIDAD DEL CAUCA",Mayode 2018
0001632192,"Moción de felicitación por haber logrado un notable resultado en el evento ¿International Students Research Conference on Health ¿ Mosa Conference 2018¿ ,UNIVERSIDAD DEL CAUCA",Juliode 2018
0001632192,"Distinción del trabajo: ""Sedentarismo, un factor de riesgo silente para adquirir una enfermedad crónica no transmisible"",X Congreso Colombiano de Morfología, ASCOM",Octubrede 2014
0001632192,"Carta de reconocimiento en el marco del evento: ¡Muévete! ¡Participa! Siembra tu semilla de investigación,Departamento de Fisioterapia, Unicauca y Del Laboratorio al Campo",Mayode 2016
0001632192,"Carta de reconocimiento por su destacada participación en el desarrollo de aportes estudiantiles y revisiones documentales que permiten el crecimiento académico de nuestro país,Universidad Nacional de Colombia, Revista electrónica Morfolia",Noviembrede 2015
0001632192,"Carta de recomendación en el marco de la organización del evento ""I Seminario: enfoque clínico y molecular del VIH/SIDA"" ,Presidencia del evento",Agostode 2015
0001632192,"Reconocimiento por la labor investigativa y de proyección social, destacándose por su responsabilidad y sentido de pertenencia. En el marco del proyecto de investigación: ""Prevalencia, incidencia y caracterización clínica de la pediculosis capitis"",Hogar Infantil Pequeñines",Noviembrede 2017
0001632192,"Por su constancia, capacidad de liderazgo y compromiso en beneficio de la Academia y de su comunidad estudiantil, en el marco del Foro: Rabia Enfermedad de Impacto en Salud Pública y perspectiva de Investigación,Colegio Médico de Cauca, Federación Médica Colombiana",Septiembrede 2016
0001632192,"Reconocimiento por la participación en el voluntariado ¿Misión Colombia¿,Clinica la Estancia",Septiembrede 2020
0001632192,"Certificado de trabajo comunitario: socialización del trabajo de investigación ""Prevalencia, manifestaciones clínicas y variables asociadas a la pediculosis capitis en preescolares de un área de bajos ingresos de Popayán, Colombia"",Instituto Colombiano De Bienestar Familiar",Octubrede 2018
0000867292,"Reconocimiento a trabajo de Investigación,UNIVERSIDAD DEL CAUCA",Febrerode 2013
0000867292,"Reconocimiento a Egresado destacado,UNIVERSIDAD DEL CAUCA",Septiembrede 2019
0000867292,"Participación en la mesa nacional del Ministerio de Salud y Protección Social,UNIVERSIDAD DEL CAUCA",Marzode 2020
0000867292,"investigador Yunior,UNIVERSIDAD DEL CAUCA",Marzode 2020
0000986976,"Exaltación por contribución con conocimientos y enseñanzas a los estudiantes de la Facultad de Medicina Veterinaria sede Popayán.,Universidad Antonio Nariño, Popayán",Mayode 2017
0000986976,"Moción de Reconocimiento por apoyo a los procesos académicos del programa de Fonoaudiología,UNIVERSIDAD DEL CAUCA",Septiembrede 2017
0000986976,"Reconocimiento al Esfuerzo académico e investigativo,UNIVERSIDAD DEL CAUCA",Noviembrede 2013
0000986976,"Reconocimiento a la Labor Docente,UNIVERSIDAD DEL CAUCA",Agostode 2018
0001632197,"Por su labor investigativa y de proyección social, destacándose por su responsabilidad y sentido de pertenencia en la ejecución del proyecto de investigación ¿Perfil epidemiológico y descripción clínica de la infestación por piojos de la cabeza en niños¿,Hogar Infantil Pequeñines",Noviembrede 2017
0001632197,"Compromiso con la investigación,Semillero de Investigación Inmunología y Enfermedades Infecciosas. Unicauca",Diciembrede 2015
0001632197,"Moción de Felicitación en el Marco de la Organización del Evento ""I Seminario: Enfoque Clínico y Molecular del VIH/SIDA"",Consejo de Facultad de Ciencias de la Salud. Unicauca",Agostode 2015
0001632197,"Carta de recomendación en el marco de la organización del evento ""I Seminario: Enfoque Clínico y Molecular del VIH/SIDA"",Colegio Médico de Cauca, Federación Médica Colombiana",Agostode 2015
0001632197,"Moción de felicitación por su compromiso con el progreso, desarrollo de la Universidad del Cauca y por su responsabilidad en la participación en eventos Nacionales e Internacionales,Consejo de Facultad, Facultad Ciencias de la Salud, Universidad del Cauca",Mayode 2018
0001632197,"Certificado de trabajo comunitario: socialización del trabajo de investigación ¿Prevalencia, manifestaciones clínicas y variables asociadas a la pediculosis capitis en preescolares de un área de bajos ingresos de Popayán, Colombia¿ ,Hogar Infantil Pequeñines",Octubrede 2018
0001632197,"Mejor Mecánico,Colegio Parroquial San Juan Baustista de la Salle",Juniode 2007
0001632197,"Moción de felicitación,Consejo de Facultad, Facultad Ciencias de la Salud, Universidad del Cauca",Juliode 2018
0001632197,"Mejor Alumno Integral,Colegio Parroquial San Juan Baustista de la Salle",Juniode 2007
0001632197,"Moción de Felicitación por los logros obtenidos en los campos de la investigación y de la proyección social,Consejo de Facultad, Facultad Ciencias de la Salud, Universidad del Cauca",Octubrede 2016
0001632197,"Liderazgo y compromiso con la academia y la comunidad estudiantil,Colegio Médico de Cauca y Federación Médica Colombiana",Septiembrede 2016
0001632197,"Reconocimiento al investigador y promotor de investigación, por la organización del evento ""I Seminario: Enfoque Clínico y Molecular del VIH/SIDA"",Presidencia del evento: I Seminario: ECM del VIH/SIDA",Agostode 2015
0001632197,"Estímulo Media Matrícula de Honor - Pregrado,UNIVERSIDAD DEL CAUCA",Febrerode 2012
0001632197,"Estímulo Media Matrícula de Honor - Pregrado,UNIVERSIDAD DEL CAUCA",Febrerode 2011
0001632197,"Excelencia,Colegio Parroquial San Juan Baustista de la Salle",Juniode 2007
0001632197,"Mejor trabajo en la modalidad de Póster Junior, Eje Temático de Anatomía Funcional, por el estudio Cambios macro- y microscópicos del corazón en el envejecimiento-XII Congreso Colombiano de Morfología,SOCIEDAD COLOMBIANA DE MORFOLOGIA",Octubrede 2016
0001632197,"Por su destacada participación en los procesos de investigación que permiten el crecimiento académico y científico para la región. Facultad Ciencias de la Salud. Vicerrectoría de Investigaciones, Universidad del Cauca. ,UNIVERSIDAD DEL CAUCA",Noviembrede 2017
0001632197,"Por su destacada participación en el desarrollo de Aportes Estudiantiles y Revisiones Documentales que permiten el crecimiento académico de nuestro país,UNIVERSIDAD NACIONAL DE COLOMBIA",Noviembrede 2015
0001632197,"Moción de felicitación por logros en investigación. Facultad Ciencias de la Salud,UNIVERSIDAD DEL CAUCA",Octubrede 2021
0000694061,"RECONOCE Y EXALTA,UNIVERSIDAD DEL CAUCA",Noviembrede 2013
0000694061,"PROPOSICION NUMERO 099 DE 2006,UNIVERSIDAD DEL CAUCA",Septiembrede 2006
0000694061,"Premio Nacional Ministerio de cultura- Ministerio de Comunicaciones para el Fomento de la Cultura Digital. ,UNIVERSIDAD DEL CAUCA",Septiembrede 2009
0000694061,"MATILDE POMBO DE ARBOLEDA Y SU TIEMPO,ACADEMIA DE HISTORIA DEL CAUCA",Marzode 2010
0000694061,"MIEMBRO DE NUMERO,ACADEMIA DE HISTORIA DEL CAUCA",Noviembrede 2006
0000694061,"MIEMBRO DE NUMERO,ASOCIACIÓN IBEROAMERICANA DEL FILOSOFIA PRÁCTICA",Noviembrede 2012
0000694061,"RECONOCIMIENTO,ASOCIACIÓN IBEROAMERICANA DEL FILOSOFIA PRÁCTICA",Juniode 2013
0000694061,"RECONOCE Y EXALTA,ASOCIACIÓN IBEROAMERICANA DEL FILOSOFIA PRÁCTICA",Octubrede 2013
0000694061,"RECONOCE Y EXALTA-INVESTIGACION SOBRE EDUCACION SUPERIOR,GLOBAL TALENT UNIVERSITY",Octubrede 2013
0000694061,"RECONOCE Y EXALTA-ETNOEDUCACION EN COLOMBIA,GLOBAL TALENT UNIVERSITY",Octubrede 2013
0000694061,"RECONOCIMIENTO,GLOBAL TALENT UNIVERSITY",Octubrede 2013
0000694061,"RECONOCIMIENTO,FUNDACION INTEGRAL DE APOYO A LA POBLACION VULNERABLE DEL CAUCA",Marzode 2013
0000694061,"MEDALLA AIFP,ASOCIACIÓN IBEROAMERICANA DE FILOSOFÍA PRÁCTICA",Noviembrede 2018
0000694061,"TERCER PUESTO,Embajada De Argentina En Chile",Enerode 1992
0000694061,"RECONOCIMIENTO,UNIVERSIDAD DE BARCELONA",Enerode 2013
0000694061,MENCIÓN,Mayode 1971
0000694061,"MENCIÓN,ALIANZA COLOMBO FRANCESA",Enerode 1971
0000694061,"MENCIÓN MERITORIA,UNIVERSIDAD DEL CAUCA",Noviembrede 2016
0000694061,"TERCER PUESTO,ALIANZA COLOMBO FRANCESA",Enerode 1973
0000694061,"EL BOTON CONMEMORATIVO FRANCISCO JOSE DE CALDAS,Departamento del Cauca",Juliode 2010
0000694061,"RECONOCE Y EXALTA,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS",Noviembrede 2012
0000694061,RECONOCE Y EXALTA,Noviembrede 2012
0000694061,"RECONOCE Y EXALTA,UNIVERSIDAD DEL CAUCA",Diciembrede 2010
0000694061,"RECONOCIMIENTO,UNIVERSIDAD DE BARCELONA",Mayode 2013
0001441361,"EXALUMNA DESTACADA,UNIVERSIDAD CATÓLICA DE MANIZALES",Octubrede 2007
0001441361,"DESARROLLO SOCIAL,COLEGIO NACIONAL DE BACTERIOLOGIA",Octubrede 2015
0001482679,"Distinción Antorcha Dorada,UNIVERSIDAD DEL CAUCA",Diciembrede 2012
0001482679,"Matrícula de honor (pregrado),UNIVERSIDAD DEL CAUCA",Diciembrede 2014
0001482679,"Matrícula de honor (pregrado),UNIVERSIDAD DEL CAUCA",Juniode 2015
0001482679,"Distinción Antorcha Dorada,UNIVERSIDAD DEL CAUCA",Diciembrede 2015
0001482679,"Media matrícula de honor (pregrado),UNIVERSIDAD DEL CAUCA",Diciembrede 2011
0001482679,"Matrícula de honor (pregrado),UNIVERSIDAD DEL CAUCA",Diciembrede 2012
0001482679,"Distinción Antorcha Dorada,UNIVERSIDAD DEL CAUCA",Diciembrede 2014
0001482679,"Matrícula de honor (pregrado),UNIVERSIDAD DEL CAUCA",Diciembrede 2015
0001482679,"Matrícula de honor (pregrado),UNIVERSIDAD DEL CAUCA",Juniode 2012
0001482679,"Matrícula de honor (pregrado),UNIVERSIDAD DEL CAUCA",Diciembrede 2013
0001482679,"Matrícula de honor (pregrado),UNIVERSIDAD DEL CAUCA",Juniode 2014
0001482679,"Matrícula de honor (pregrado),UNIVERSIDAD DEL CAUCA",Juniode 2013
0001482679,"Matrícula de honor (pregrado),UNIVERSIDAD DEL CAUCA",Juniode 2016
0001482679,"Distinción Antorcha Dorada,UNIVERSIDAD DEL CAUCA",Diciembrede 2013
0001482679,"Matrícula de honor (pregrado),UNIVERSIDAD DEL CAUCA",Diciembrede 2016
0001482679,"Distinción Antorcha Dorada,UNIVERSIDAD DEL CAUCA",Diciembrede 2017
0001482679,"Distinción Antorcha Dorada,UNIVERSIDAD DEL CAUCA",Diciembrede 2016
0001482679,"Distinción Antorcha Dorada,UNIVERSIDAD DEL CAUCA",Diciembrede 2018
0001482679,"Medalla Universidad del Cauca ""Manuel José Mosquera"" Resolución académica 005 de 2018,UNIVERSIDAD DEL CAUCA",Marzode 2018
0001354030,"TRAYECTORIA INVESTIGATIVA, CALIDAD DE PRODUCCIÓN Y EXCELENCIA CIENTÍFICA  ,UNIVERSIDAD DEL CAUCA",Noviembrede 2019
0000327778,"Por su invaluable ponencia y colaboración con el evento ""I enfoque clínico y molecular del VIH/Sida"",Federación Médica Colombiana",Mayode 2016
0000327778,"Segundo lugar en Poster científico- III Congreso de Medicina Interna,Asociación Colombiana De Medicina Interna - Acmi",Diciembrede 2017
0000489654,"mencion honorifica como fundadora del programa de fisioterapia,universidd del cauca",de 2003
0001516094,"MEJOR DEPORTISTA DOCENTE UNIVERSIDAD DEL CAUCA,UNIVERSIDAD DEL CAUCA",Noviembrede 2016
0001516094,SUBACAMPEON SURAMERICANO DE BALONCESTO PROFESIONAL FEMENINO,Mayode 2014
0001516094,"Reconocimiento de grado de honor Juan Ruíz Mora por excelencia academica ,Escuela Colombiana De Rehabilitación - E.C.R",Septiembrede 2022
0001516094,"Reconocimiento a trayectoria investigativa, calidad de producción y excelencia científica,UNIVERSIDAD DEL CAUCA",Diciembrede 2019
0000012692,"Docente mejor evaluada de asignaturas teórico-prácticas 2P-2019,UNIVERSIDAD DEL CAUCA",Diciembrede 2020
0000012692,"Moción de felicitación por la realización del V encuentro de egresados del Programa de Fisioterapia,UNIVERSIDAD DEL CAUCA",Enerode 2023
0000012692,"Compromiso en la formación académica de los estudiantes del Programa de Fisioterapia,UNIVERSIDAD DEL CAUCA",Octubrede 2021
0000012692,"Organización de evento de egresados del Programa de Fisioterapia de la universidad del Cauca,UNIVERSIDAD DEL CAUCA",Juniode 2020
0000012692,"Docencia,UNIVERSIDAD DEL CAUCA",Noviembrede 2019
0000012692,"Vocación y servicio como primer egresado del Programa de Fisioterapia,UNIVERSIDAD DEL CAUCA",Noviembrede 2019
0000012692,"Moción de felicitación por la realización del IV encuentro de egresados del Programa de Fisioterapia,UNIVERSIDAD DEL CAUCA",Diciembrede 2021
0000504874,"Compromiso, colaboración y sentido de pertenencia en el hospital universitario san josé,Hospital Universitario San José De Popayán",Marzode 2016
0000504874,"A la excelencia, servidor publico inscrito en carrera administrativa ,HOSPITAL UNIVERSITARIO SAN JOSE POPAYAN",Febrerode 2021
0000011561,"EXCELENTE DESEMPEÑO EN EL EJERCICIO DOCENTE RECONOCIDO POR LA POBLACIÓN ESTUDIANTIL,Fundación Universitaria Maria Cano",Febrerode 2014
0000011561,"EXCELENTE DESEMPEÑO EN EL EJERCICIO DOCENTE RECONOCIDO POR LA POBLACIÓN ESTUDIANTIL,Fundación Universitaria Maria Cano",Octubrede 2013
0000011561,"EXCELENTE DESEMPEÑO EN EL EJERCICIO DOCENTE RECONOCIDO POR LA POBLACIÓN ESTUDIANTIL,Fundación Universitaria Maria Cano",Febrerode 2015
0000011561,"EXCELENTE DESEMPEÑO EN EL EJERCICIO DOCENTE RECONOCIDO POR LA POBLACIÓN ESTUDIANTIL,Fundación Universitaria Maria Cano",Septiembrede 2014
0000011561,"Esfuerzo, dedicación y compromiso al servicio de la profesión,UNIVERSIDAD DEL CAUCA",Noviembrede 2019
0000011561,"Compromiso y Liderazgo con la Interacción Social,UNIVERSIDAD DEL CAUCA",Diciembrede 2020
0000158037,"Otorgación de beca  por la Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES), Brasil para realización de doctorado,CAPES - Coordenação de aperfeiçoamento de pessoal de nivel superior",Abrilde 2016
0000158037,"PREMIO AL MEJOR TEMA LIBRE PRESENTADO EN LA JORNADA DE FISIOTERAPIA - 36° Congresso de Cardiologia SOCERJ 2019,Sociedade de Cardiologia do Estado do Rio de Janeiro",Mayode 2019
0000158037,"1o lugar na forma Oral na XIX Jornada de Fisioterapia em Cardiologia, realizada no dia 10/05/19, durante o 36° CONGRESSO SOCERJ, no Centro de Convenções SulAmérica, no Rio de Janeiro, RJ.,Sociedade de Cardiologia do Estado do Rio de Janeiro",Abrilde 2019
0000158037,"Otorgación de beca  por la Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES), Brasil para realización de doctorado,CAPES - Coordenação de aperfeiçoamento de pessoal de nivel superior",Marzode 2013
0001337872,"Aprobada con Mención,UNIVERSIDAD AUTONOMA DE MANIZALES",Agostode 2012
0001337872,"PRIMER PUESTO PONENCIA ORAL VI Bienal de Fisioterapia y V Encuentro de Investigación,UNIVERSIDAD CES",Noviembrede 2020
0001056271,"PREMIO CENTRO DE INVESTIGACIONES A LA CALIDAD INVESTIGATIVA MODALIDAD INVESTIGACIÓN PROFESORAL. PRIMER PUESTO,UNIVERSIDAD MARIANA",Diciembrede 2014
0000796158,"Reconocimiento a la labor docente,UNIVERSIDAD SAN BUENAVENTURA CARTAGENA",Mayode 2015
0001464184,"Egresado destacado del Programa de Fisioterapia,UNIVERSIDAD DEL CAUCA",Noviembrede 2019
0001464184,"Orgullo Unicaucano,UNIVERSIDAD DEL CAUCA",Abrilde 2020
0000095545,"DOCENTE INFLUYENTE,UNIVERSIDAD DEL CAUCA",Enerode 2023
0000095545,"TERCER PUESTO EN LA PRESENTACIÓN DE TRABAJO DE INVESTIGACIÓN,UNIVERSIDAD DEL CAUCA",Diciembrede 2020
0000480592,"PRIMER PUESTO POR SER TRABAJO DE PROYECCIÓN A LA COMUNIDAD, EN SEGUNDA JORNADA DE SOCIALIZACIÓN DE RESULTADOS DE INVESTIGACIÓN ¿CONOZCAMOS Y APLIQUEMOS LA INVESTIGACIÓN QUE HACEMOS¿,UNIVERSIDAD DEL CAUCA",Febrerode 2014
0000480592,"La Vicerrectoría de Investigaciones de la Universidad del Cauca, en consideración a la trayectoría investigativa, calidad de la producción y excelencia científica, otorga reconocimiento al Grupo de Investigación Movimiento Corporal Humano y Calidad de Vid,UNIVERSIDAD DEL CAUCA",Juniode 2018
0000480592,"Felicitación de la Fundación Hogar para Ancianos San Vicente de Paul de Popayán, a profesores, estudiantes, personal de apoyo y directivos que con su trabajo, compromiso y dedicación, llevaron a la Universidad del Cauca al prestigioso merecimiento.,UNIVERSIDAD DEL CAUCA",Diciembrede 2013
0000480592,"Moción de Agradecimiento y reconocimiento por haber dirigido el Programa de Fisioterapia durante los últimos cinco (5) años, llevando al posicionamiento del Progama en el medio, año 2016.,UNIVERSIDAD DEL CAUCA",Abrilde 2016
0000480592,"Evaluación favorable de texto, Libro: Hacia una Pedagogía del Contacto, como resultado de participación en Convocatoria para la publicación de libros de impacto regional y nacional, 2015 - 2016, del Sello Editorial de la Universidad del Cauca. ,UNIVERSIDAD DEL CAUCA",Mayode 2016
0000480592,"Reconocimiento en los Premios a los Mejores en Educación 2013 por obtención de Acreditación de alta calidad, otorgado por el Ministerio de Educación Superior ,UNIVERSIDAD DEL CAUCA",Diciembrede 2013
0000480592,"Reconocimiento grupal a la calidad académica: Departamento de Fisioterapia,UNIVERSIDAD DEL CAUCA",Noviembrede 2015
0000480592,"MENCIÓN DE HONOR A INFORME FINAL DE TRABAJO DE GRADO TITULADO: PROCESOS DE CONTACTO EN ESTUDIANTES DE FISIOTERAPIA DE LA UNIVERSIDAD DEL CAUCA DE LA MAESTRÍA EN EDUCACIÓN,UNIVERSIDAD DEL CAUCA",Febrerode 2015
0000480592,"Moción de Felicitación del Consejo de Facultad, por las actividades realizadas por la Unidad de Educación en Salud de la Facultad Ciencias de la Salud. ,UNIVERSIDAD DEL CAUCA",Febrerode 2016
0000480592,"Reconocimiento por la  participación en el programa de  movilidad administrativa  nacional entre programas de  Fisioterapia. ,Universidad Mariana - Unimar",Marzode 2021
0000480592,"Reconocimiento por obtener la  mejor evaluación docente de las  prácticas formativas, en el  periodo académico 2022-1,UNIVERSIDAD DEL CAUCA",Octubrede 2022
0000480592,"Reconocimiento por su excelencia docente y trayectoria en el Programa de Fisioterapia de la Universidad del Cauca. Evento: Tarde de los Mejores Programa de Fisioterapia.,UNIVERSIDAD DEL CAUCA",Diciembrede 2020
0000480592,"Moción de Felicitación del Consejo de Facultad de Ciencias de la Salud de la Universidad del Cauca como nueva representante de los profesores ante el Consejo Académico de la Universidad del Cauca.,UNIVERSIDAD DEL CAUCA",Juniode 2018
0000480592,"Moción de Felicitación del Consejo de Facultad de Ciencias de la Salud de la Universidad del Cauca, por el excelente trabajo realizado durante el Año Sabático, titulado: Hacia una Pedagogía del Contacto en Fisioterapia.,UNIVERSIDAD DEL CAUCA",Octubrede 2017
0000480592,"Reconocimiento por lanzamiento del libro ""Hacia una pedagogía del contacto en Fisioterapia"" y excelente desempeño como profesora del Departamento de Fisioterapia.,UNIVERSIDAD DEL CAUCA",Mayode 2018
0000480592,"Reconocimiento por su  compromiso, entrega y ardua  labor como Coordinadora de  investigaciones del programa  de Fisioterapia de la  Universidad del Cauca. ,UNIVERSIDAD DEL CAUCA",Mayode 2022
0000480592,"En calidad de estudiante de pregrado del Programa de Fisioterapia:  Asignación Matrícula de Honor estudiante.,UNIVERSIDAD AUTONOMA DE MANIZALES",Septiembrede 2000
0000480592,"Reconocimiento al Mérito a la Innovación Educativa por presentación de la contribución: ""Aportes del contacto relacional a la formación profesional en Fisioterapia"" en el Seminario Internacional Innovaciones Educativas y MOOC SINNEM,UNIVERSIDAD DEL CAUCA",Octubrede 2018
0000480592,"Exaltación por producción académica como docente de la Facultad de Ciencias de la Salud,UNIVERSIDAD DEL CAUCA",Mayode 2018
0001357557,"Deportista del año,INDEPORTES CAUCA",Febrerode 2003
0001357557,"Deportista del año,Asociacion de cronistas y redactores deportivos",Marzode 2003
0001357557,"Premio a la promoción de hábitos y estilos de vida saludable. Primer Lugar Categoría Medios de Comunicación,Fundación Colombiana del Coraz+on",Marzode 2014
0001357557,"Mención de Honor Premios al Periodismo Caucan,UNIVERSIDAD DEL CAUCA",Septiembrede 2014
0001357557,"Medalla del Bicentenario,Departamento del Cauca",Mayode 2010
0000771988,"DEDICACIÓN, ESFUERZO Y ENTREGA EN EL EJERCICIO DOCENTE EN LA PRÁCTICA EDUCATIVA,Fundación Universitaria Maria Cano",Agostode 2006
0000456594,"Matricula de Honor,  Trabajo final del Master en el tratamiento del dolor en la práctica clínica,Universidad De Salamanca",Mayode 2018
0000456594,"Profesor distinguido,UNIVERSIDAD DEL CAUCA",de 2000
