idcvlac,autores,nombre,tipo,nit,registro_camara,verificado,palabras,areas,sectores
0000013021,JUAN CARLOS CORRALES MUNOZ,Corporación Centro Internacional de Investigacion e Innovacion del Agua,Producción técnica - Empresa de base tecnológica - Spin-off,900443430-1,2011-06-13 00:00:00.0,False,,"Ciencias Naturales -- Ciencias de la Tierra y Medioambientales -- Ciencias del Medio Ambiente, Ciencias Naturales -- Ciencias de la Tierra y Medioambientales -- Investigación del Clima, Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones",
0001481137,JOHAN EDGAR TIQUE RAMIREZ,ANALISISTEM,Producción técnica - Empresa de base tecnológica - Start-up,901176834,2014-02-05 00:00:00.0,False,,"Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Hardware y Arquitectura de Computadores, Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería Eléctrica y Electrónica, Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones",
0000352683,OSCAR MAURICIO CAICEDO RENDON,Software Mobile Solutions,Producción técnica - Empresa de base tecnológica - Spin-off,900.010.113-1,2005-02-28 00:00:00.0,False,,,
0001519135,CAMILO ANDRES ANDRADE OJEDA,Three marketing Publicidad S.A.S (Star Up Red Tecnoparque nodo Neiva),Producción técnica - Empresa de base tecnológica - Start-up,900929911-8,2016-02-03 00:00:00.0,False,,"Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones",Desarrollo de programas (software) y prestación de servicios en informática - Otras actividades de prestación de servicios en informática
0001519135,CAMILO ANDRES ANDRADE OJEDA,VAD vision Architecture,Producción técnica - Empresa de base tecnológica - Start-up,901010560-0,2016-09-15 00:00:00.0,False,"Design Thinking, Marketing, Neiva, Servicios",Humanidades -- Arte -- Artes audiovisuales,Otros sectores - Informática
0001519135,CAMILO ANDRES ANDRADE OJEDA,Artra café S.A.S,Producción técnica - Empresa de base tecnológica - Spin-off,901314173-2,2019-08-21 00:00:00.0,False,,,
0001519135,CAMILO ANDRES ANDRADE OJEDA,Proyector,Producción técnica - Empresa de base tecnológica - Spin-off,1075310929-1,2019-06-11 00:00:00.0,False,,,
0000427047,DEYA AMPARO PEREZ ZUNIGA,Casa Fresh S.A.S.,Producción técnica - Empresa de base tecnológica - Start-up,900661984-2,2013-10-04 00:00:00.0,True,,"Ingeniería y Tecnología -- Ingeniería Química -- Ingeniería de Procesos, Ciencias Naturales -- Otras Ciencias Naturales -- Otras Ciencias Naturales",Fabricación de productos químicos - Fabricación de otros productos químicos
0000427047,DEYA AMPARO PEREZ ZUNIGA,"Asociación de fabricantes, comercializadores y distribuidores de productos de cosmetología, aseo y belleza, Kiwe. ASOFACOSKIWE",Producción técnica - Empresa de base tecnológica - Start-up,900607419-3,2013-10-16 00:00:00.0,True,"producción, procesos, Cadenas productivas",Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías,"Fabricación de productos químicos - Otro, Fabricación de productos químicos - Fabricación de otros productos químicos"
0000427047,DEYA AMPARO PEREZ ZUNIGA,Yumagora S.A.S. 900927996,Producción técnica - Empresa de base tecnológica - Start-up,900927996,2013-05-15 00:00:00.0,True,,Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías,Fabricación de productos químicos - Fabricación de otros productos químicos
0000427047,DEYA AMPARO PEREZ ZUNIGA,Cafecao S.A.S.,Producción técnica - Empresa de base tecnológica - Start-up,900816120-3,2015-02-04 00:00:00.0,True,,Ingeniería y Tecnología -- Ingeniería Química -- Ingeniería Química (Plantas y Productos),Fabricación de productos químicos - Fabricación de otros productos químicos
0001364033,"JUAN DIEGO OTERO SARMIENTO, FERNANDO ANDRES MUNOZ GOMEZ, JUAN CARLOS JAIMES CORREA, MARIA MELINA FLOREZ CUADROS",Hydroclimate Technologies ¿ MOCLI,Producción técnica - Empresa de base tecnológica - Spin-off,En maduración tecnológica,2022-03-18 00:00:00.0,False,,"Ciencias Naturales -- Ciencias de la Tierra y Medioambientales -- Investigación del Clima, Ciencias Naturales -- Ciencias de la Tierra y Medioambientales -- Meteorología y Ciencias Atmosféricas, Ciencias Naturales -- Otras Ciencias Naturales -- Otras Ciencias Naturales","Agricultura, pecuaria, silvicultura, explotación forestal - Silvicultura, explotación forestal y servicios relacionados"
0001530076,JULIAN ANDRES GARCES MUNOZ,Urbe Smart S.A.S.,Producción técnica - Empresa de base tecnológica - Start-up,900883020,2015-04-21 00:00:00.0,True,,"Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías, Ciencias Sociales -- Economía y Negocios -- Negocios y Management","Desarrollo Urbano, Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible."
0000373770,"HECTOR SAMUEL VILLADA CASTILLO, JOSE FERNANDO SOLANILLA DUQUE, CARLOS ARTURO LEON ROA",Zona Franca Paz - ZonaPAZ,Producción técnica - Empresa de base tecnológica - Spin-off,901141339-4,2017-12-22 00:00:00.0,True,"Almidón de yuca, Agrocadena, Desarrollo Empresarial, Alimentos, Empaques biodegradables, Empaques semirrigidos biodegradables, Patentes, Postharvest",Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías,"Actividades de asesoramiento y consultoría a las empresas - Ensayos de materiales y productos análisis de calidad, Agricultura, pecuaria, silvicultura, explotación forestal - Producción vegetal, Productos y procesos biotecnológicos - Productos y procesos biotecnológicos vinculados a la agricultura, Salud humana - Nutrición y alimentación"
0000012467,"APOLINAR FIGUEROA CASAS, JUAN CARLOS CORRALES MUNOZ",CORPORACION CENTRO INTERNACIONAL DE INVESTIGACION E INNOVACION DEL AGUA,Producción técnica - Empresa de base tecnológica - Spin-off,900443430-1,2011-06-01 00:00:00.0,True,"Agro ecosistema, Aplicaciones telematicas, CONSERVACION, Cambio Climatico , Cambio de la cobertura vegetal, Desarrollo, ciencia e investigación, Ecologia cambio Global, Gestion Ambiental, Investigación","Ciencias Naturales -- Ciencias Biológicas -- Ecología, Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería Eléctrica y Electrónica",Otros sectores - Información y Gestión C
0000588040,SILVIO ANDRES ORDONEZ ZUNIGA,BioSIG Ciencia & Ingeniería,Producción técnica - Empresa de base tecnológica - Start-up,900684561-1,2013-12-18 00:00:00.0,False,,Ingeniería y Tecnología -- Biotecnología Ambiental -- Biotecnología Ambiental,
0000894877,MONICA B RAMIREZ BURBANO,Biodiversia,Producción técnica - Empresa de base tecnológica - Start-up,901701683-7,2023-04-11 00:00:00.0,False,"Aves, Fauna, Colombia","Ciencias Naturales -- Ciencias Biológicas -- Conservación de la biodiversidad, Ciencias Naturales -- Ciencias Biológicas -- Botánica y Ciencias de las Plantas, Ciencias Naturales -- Ciencias Biológicas -- Ecología, Ciencias Naturales -- Ciencias Biológicas -- Zoología, Ornitología, Entomología, Ciencias Biológicas del Comportamiento","Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible., Educación - Otro"
0000187488,"ALEXI PAYARES ORTIZ, ARMANDO AGUILERA TORRADO",Fundación reeducativa profuturo,Producción técnica - Empresa de base tecnológica - Start-up,829000469-8,2016-12-05 00:00:00.0,True,"Jóvenes, Atención, Características Psicológicas, Buen trato, Consumo de drogas, Derechos Humanos, Efectos Psicosociales, Etica, Familia, Factores de riesgo, Gravedad consumo de drogas, Intervención Psicosocial, Modelos Psicológicos de Intervención","Ciencias Sociales -- Otras Ciencias Sociales -- Ciencias Sociales, Interdisciplinaria","Salud humana - Cuidado a la salud de las poblaciones humanas, Desarrollo rural, Educación - Formación permanente y otras actividades de enseñanza, incluso educación a distancia y educación especial"
0000018983,JULIAN ANDRES MERA PAZ,Servicenter.net Popayan,Producción técnica - Empresa de base tecnológica - Spin-off,102949380,2011-03-10 00:00:00.0,False,,"Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones, Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Hardware y Arquitectura de Computadores, Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Telecomunicaciones",
