idcvlac,autor,nombre,tipo,verificado,nombre_comercial,contrato_registro,lugar,fecha,palabras,areas,sectores
0001233416,PABLO VEGA VASQUEZ,Celda de combustible microbiano(MFC) para la obtención de energía eléctrica y tratamiento de aguas residuales,Producción técnica - Prototipo - Industrial,True,,,Colombia,2012,celda de combustible microbiano,Ingeniería y Tecnología -- Biotecnología Ambiental -- Biotecnología Ambiental,"Desarrollo rural, Productos y procesos biotecnológicos - Otro, Fabricación de máquinas, aparatos y materialies eléctricos, Captación, tratamiento y distribución de agua, limpieza urbana, aguas residuales y actividades conexas"
0001355556,VICENTE ORTIZ GOMEZ,MATERIAL POLIMÉRICO OBTENIDO A PARTIR DEL COPRODUCTO DE LA ETAPA DE DESCARNE DEL PROCESO DE CURTIDO DE PIELES DEL MUNICIPIO DE BELÉN NARIÑO,Producción técnica - Prototipo - Industrial,True,,,Colombia,2018,"collagen, gelatine, subproducto, putrescible solid waste","Ingeniería y Tecnología -- Ingeniería de los Materiales -- Recubrimientos y Películas, Ingeniería y Tecnología -- Biotecnología Industrial -- Bioproductos (Productos que se Manufacturan Usando Biotecnología), Biomateriales, Bioplásticos, Biocombustibles, Materiales Nuevos Bioderivados, Químicos Finos Bioredivados","Actividades de asesoramiento y consultoría a las empresas - Asesoramiento y consultoría en arquitectura e ingeniería, Desarrollo de nuevos materiales"
0001355556,"VICENTE ORTIZ GOMEZ, REINALDO VELASCO MOSQUERA, MARIO GERMAN ENRIQUEZ COLLAZOS, MATERIAL POLIMÉRICO BIODEGRADABLE CON PROPIEDADES ANTIMICROBIANAS OBTENIDO A PARTIR DE ALMIDÓN DE YUCA",ÁCIDO POLILÁCTICO Y POLICAPROLACTONA,Producción técnica - Prototipo - Industrial,True,,,Colombia,2014,,"Ingeniería y Tecnología -- Ingeniería de los Materiales -- Recubrimientos y Películas, Ingeniería y Tecnología -- Biotecnología Industrial -- Bioproductos (Productos que se Manufacturan Usando Biotecnología), Biomateriales, Bioplásticos, Biocombustibles, Materiales Nuevos Bioderivados, Químicos Finos Bioredivados",Desarrollo de nuevos materiales
0001355556,VICENTE ORTIZ GOMEZ,PROCESO DE OBTENCIÓN DE MATERIAL POLIMÉRICO OBTENIDO A PARTIR DEL COPRODUCTO DE LA ETAPA DE DESCARNE DEL PROCESO DE CURTIDO DE PIELES DEL MUNICIPIO DE BELÉN NARIÑO,Producción técnica - Prototipo - Industrial,True,,,Colombia,2018,"putrescible solid waste, gelatine, collagen, bovine skin, Biodegradable","Ingeniería y Tecnología -- Biotecnología Industrial -- Bioproductos (Productos que se Manufacturan Usando Biotecnología), Biomateriales, Bioplásticos, Biocombustibles, Materiales Nuevos Bioderivados, Químicos Finos Bioredivados, Ingeniería y Tecnología -- Ingeniería de los Materiales -- Recubrimientos y Películas, Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Alimentos y Bebidas",Desarrollo de nuevos materiales
0001355556,VICENTE ORTIZ GOMEZ,Proceso de obtención de una harina hiperproteica a partir del grano de la quinua del departamento del Cauca,Producción técnica - Prototipo - Industrial,True,,,Colombia,2018,Proteínas ,Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Alimentos y Bebidas,
0001355556,"VICENTE ORTIZ GOMEZ, REINALDO VELASCO MOSQUERA, MARIO GERMAN ENRIQUEZ COLLAZOS, PROCESO DE OBTENCIÓN POR EXTRUSIÓN DEL MATERIAL POLIMÉRICO BIODEGRADABLE CON PROPIEDADES ANTIMICROBIANAS OBTENIDO A PARTIR DE ALMIDÓN DE YUCA",ÁCIDO POLILÁCTICO Y POLICAPROLACTONA,Producción técnica - Prototipo - Industrial,True,,,Colombia,2014,"Almidón hidroxipropilado, Retrogradación, Procesamiento","Ingeniería y Tecnología -- Biotecnología Industrial -- Bioproductos (Productos que se Manufacturan Usando Biotecnología), Biomateriales, Bioplásticos, Biocombustibles, Materiales Nuevos Bioderivados, Químicos Finos Bioredivados, Ingeniería y Tecnología -- Ingeniería de los Materiales -- Recubrimientos y Películas",Desarrollo de nuevos materiales
0001355556,VICENTE ORTIZ GOMEZ,Quinoa Snack Gluten-Free Production at an Industrial Level,Producción técnica - Prototipo - Industrial,False,,,Colombia,2022,"quinoa protein digestibility, textural properties, functional foods, phenolic compounds, carotenoids",,
0000411914,RUBIEL VARGAS CANAS,Microscopío Óptico Automátizado,Producción técnica - Prototipo - Industrial,True,,,Colombia,2017,,,
0001363094,FABIO ANDRES BAHOS NARVAEZ,Resistivity - capacitive - temperature tool,Producción técnica - Prototipo - Industrial,True,,,Colombia,2013,,,
0001363094,FABIO ANDRES BAHOS NARVAEZ,Instrumento de medición eNose con sensores de ondas acústicas superficiales para detección de marcadores de enfermedades en el aliento,Producción técnica - Prototipo - Industrial,True,,,México,2018,,,
0001363094,FABIO ANDRES BAHOS NARVAEZ,Photoelectric fluid density tool,Producción técnica - Prototipo - Industrial,True,,,Colombia,2015,,,
0001363094,FABIO ANDRES BAHOS NARVAEZ,Electromagnetic meter flow tool,Producción técnica - Prototipo - Industrial,True,,,Colombia,2014,,,
0001363094,FABIO ANDRES BAHOS NARVAEZ,PLT Production Logging Tool,Producción técnica - Prototipo - Industrial,True,,,Colombia,2013,,,
